Бренд,продукция,категория,префикс,номер,суффикс,Аналог,d_mm,D_mm,B_mm,T_mm,C_mm,W_mm,r1r2_min_mm,r3r4_min_mm,a_mm,d_inch,D_inch,B_inch,T_inch,C_inch,spindle_A_mm,spindle_B_mm,spindle_B1_mm,axb,interface,spindle_head,C,D_x_L,G,F,keyway,shaft_d_mm,thread_e,rpm,max_speed_rpm,mass_kg,static_400C_kN,static_20C_kN,screw_class,note_raw,raw,source_site,source_url,source_brand,source_page,scraped_at_utc,номер_исходный,parse_strategy,parse_conflict,stage2_enriched,обозначение_полное,quality
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30216,F,7216,80.0,140.0,26.0,28.25,22.0,,2.5,2.0,28.0,3.15,5.512,1.024,1.112,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,30216,unchanged,,,30216 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32216,F,7516,80.0,140.0,33.0,35.25,28.0,,2.5,2.0,30.6,3.15,5.512,1.299,1.388,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,32216,unchanged,,,32216 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,31318,F,1027318,90.0,190.0,43.0,46.5,30.0,,4.0,3.0,56.0,3.543,7.48,1.693,1.831,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,31318,unchanged,,,31318 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32019,XF,2007119,95.0,145.0,32.0,32.0,24.0,,2.0,1.5,31.1,3.74,5.709,1.26,1.26,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,32019,unchanged,,,32019 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33019,F,3007119,95.0,145.0,39.0,39.0,32.5,,2.0,1.5,28.3,3.74,5.709,1.535,1.535,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,33019,unchanged,,,33019 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33119,F,3007719,95.0,160.0,49.0,49.0,38.0,,2.5,2.0,37.0,3.74,6.299,1.929,1.929,1.496,,,,,,,,,,,,,,,,,,,,,,,,,,,33119,unchanged,,,33119 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30219,F,7219,95.0,170.0,32.0,34.5,27.0,,3.0,2.5,33.0,3.74,6.693,1.26,1.358,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,30219,unchanged,,,30219 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32219,F,7519,95.0,170.0,43.0,45.5,37.0,,3.0,2.5,38.6,3.74,6.693,1.693,1.791,1.457,,,,,,,,,,,,,,,,,,,,,,,,,,,32219,unchanged,,,32219 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30217,F,7217,85.0,150.0,28.0,30.5,24.0,,2.5,2.0,29.9,3.346,5.906,1.102,1.201,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,30217,unchanged,,,30217 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32217,F,7517,85.0,150.0,36.0,38.5,30.0,,2.5,2.0,33.2,3.346,5.906,1.417,1.516,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,32217,unchanged,,,32217 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33115,F,3007715,75.0,125.0,37.0,37.0,29.0,,2.0,1.5,28.9,2.953,4.921,1.457,1.457,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,33115,unchanged,,,33115 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30220,F,7220,100.0,180.0,34.0,37.0,29.0,,3.0,2.5,35.9,3.937,7.087,1.339,1.457,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,30220,unchanged,,,30220 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32220,F,7520,100.0,180.0,46.0,49.0,39.0,,3.0,2.5,41.0,3.937,7.087,1.811,1.929,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,32220,unchanged,,,32220 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32220,FR,7520,100.0,180.0,46.0,49.0,39.0,,8.0,2.5,41.0,3.937,7.087,1.811,1.929,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,32220,unchanged,,,32220 FR (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33220,F,3007220,100.0,180.0,63.0,63.0,48.0,,3.0,2.5,45.5,3.937,7.087,2.48,2.48,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,33220,unchanged,,,33220 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32021,XF,2007121,105.0,160.0,35.0,35.0,26.0,,2.5,1.0,34.0,4.134,6.299,1.378,1.378,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,32021,unchanged,,,32021 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32221,F,7521,105.0,190.0,50.0,53.0,43.0,,3.0,2.5,44.0,4.134,7.48,1.969,2.087,1.693,,,,,,,,,,,,,,,,,,,,,,,,,,,32221,unchanged,,,32221 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32022,XF,2007122,110.0,170.0,38.0,38.0,29.0,,2.5,2.0,36.5,4.331,6.693,1.496,1.496,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,32022,unchanged,,,32022 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33022,F,3007122,110.0,170.0,47.0,47.0,37.0,,2.5,2.0,33.9,4.331,6.693,1.85,1.85,1.457,,,,,,,,,,,,,,,,,,,,,,,,,,,33022,unchanged,,,33022 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30222,F,7222,110.0,200.0,38.0,41.0,32.0,,3.0,2.5,40.5,4.331,7.874,1.496,1.614,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,30222,unchanged,,,30222 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32222,F,7522,110.0,200.0,53.0,56.0,46.0,,3.0,2.5,46.0,4.331,7.874,2.087,2.205,1.811,,,,,,,,,,,,,,,,,,,,,,,,,,,32222,unchanged,,,32222 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32924,F,2007924,120.0,165.0,29.0,29.0,23.0,,1.5,1.5,29.1,4.724,6.496,1.142,1.142,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,32924,unchanged,,,32924 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33120,F,3007720,100.0,165.0,52.0,52.0,40.0,,2.5,2.0,40.0,3.937,6.496,2.047,2.047,1.575,,,,,,,,,,,,,,,,,,,,,,,,,,,33120,unchanged,,,33120 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30215,F,7215,75.0,130.0,25.0,27.25,22.0,,2.0,1.5,27.2,2.953,5.118,0.984,1.073,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,30215,unchanged,,,30215 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32215,F,7515,75.0,130.0,31.0,33.25,27.0,,2.0,1.5,29.8,2.953,5.118,1.22,1.309,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,32215,unchanged,,,32215 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32313,F,7613,65.0,140.0,48.0,51.0,39.0,,3.0,2.5,34.3,2.559,5.512,1.89,2.008,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,32313,unchanged,,,32313 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32014,XF,2007114,70.0,110.0,25.0,25.0,19.0,,1.5,1.5,23.7,2.756,4.331,0.984,0.984,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,32014,unchanged,,,32014 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30315,F,7315,75.0,160.0,37.0,40.0,31.0,,3.0,2.5,31.0,2.953,6.299,1.457,1.575,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,30315,unchanged,,,30315 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,31315,F,27315,75.0,160.0,37.0,40.0,26.0,,3.0,2.5,48.0,2.953,6.299,1.457,1.575,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,31315,unchanged,,,31315 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32315,F,7615,75.0,160.0,55.0,58.0,45.0,,3.0,2.5,39.0,2.953,6.299,2.165,2.283,1.772,,,,,,,,,,,,,,,,,,,,,,,,,,,32315,unchanged,,,32315 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32016,XF,2007116,80.0,125.0,29.0,29.0,22.0,,1.5,1.5,26.9,3.15,4.921,1.142,1.142,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,32016,unchanged,,,32016 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33016,F,3007116,80.0,125.0,36.0,36.0,29.5,,1.5,1.5,26.0,3.15,4.921,1.417,1.417,1.161,,,,,,,,,,,,,,,,,,,,,,,,,,,33016,unchanged,,,33016 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33116,F,3007716,80.0,130.0,37.0,37.0,29.0,,2.0,1.5,30.9,3.15,5.118,1.457,1.457,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,33116,unchanged,,,33116 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,11949,/LM11910,7804,19.05,45.237,16.637,15.494,12.065,,1.2,1.2,9.9,0.75,1.781,0.655,0.61,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,11949,unchanged,,,11949/LM11910 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30218,F,7218,90.0,160.0,30.0,32.5,26.0,,2.5,2.0,31.0,3.543,6.299,1.181,1.28,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,30218,unchanged,,,30218 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30316,F,7316,80.0,170.0,39.0,42.5,33.0,,3.0,2.5,34.0,3.15,6.693,1.535,1.673,1.299,,,,,,,,,,,,,,,,,,,,,,,,,,,30316,unchanged,,,30316 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32316,F,7616,80.0,170.0,58.0,61.5,48.0,,3.0,2.5,42.0,3.15,6.693,2.283,2.421,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,32316,unchanged,,,32316 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32017,XF,2007117,85.0,130.0,29.0,29.0,22.0,,1.5,1.5,28.0,3.346,5.118,1.142,1.142,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,32017,unchanged,,,32017 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33017,F,3007117,85.0,130.0,36.0,36.0,29.5,,1.5,1.5,26.7,3.346,5.118,1.417,1.417,1.161,,,,,,,,,,,,,,,,,,,,,,,,,,,33017,unchanged,,,33017 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33117,F,3007717,85.0,140.0,41.0,41.0,32.0,,2.5,2.0,32.9,3.346,5.512,1.614,1.614,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,33117,unchanged,,,33117 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33215,F,3007215,75.0,130.0,41.0,41.0,31.0,,2.0,1.5,32.6,2.953,5.118,1.614,1.614,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,33215,unchanged,,,33215 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33217,F,3007217,85.0,150.0,49.0,49.0,37.0,,2.5,2.0,37.0,3.346,5.906,1.929,1.929,1.457,,,,,,,,,,,,,,,,,,,,,,,,,,,33217,unchanged,,,33217 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32317,F,7617,85.0,180.0,60.0,63.5,49.0,,4.0,3.0,43.0,3.346,7.087,2.362,2.5,1.929,,,,,,,,,,,,,,,,,,,,,,,,,,,32317,unchanged,,,32317 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32018,XF,2007118,90.0,140.0,32.0,32.0,24.0,,2.0,1.5,30.0,3.543,5.512,1.26,1.26,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,32018,unchanged,,,32018 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33018,F,3007118,90.0,140.0,39.0,39.0,32.5,,2.0,1.5,28.0,3.543,5.512,1.535,1.535,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,33018,unchanged,,,33018 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33118,F,3007718,90.0,150.0,45.0,45.0,35.0,,2.5,2.0,34.8,3.543,5.906,1.772,1.772,1.378,,,,,,,,,,,,,,,,,,,,,,,,,,,33118,unchanged,,,33118 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33216,F,3007216,80.0,140.0,46.0,46.0,35.0,,2.5,2.0,34.9,3.15,5.512,1.811,1.811,1.378,,,,,,,,,,,,,,,,,,,,,,,,,,,33216,unchanged,,,33216 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32204,F,7504,20.0,47.0,18.0,19.25,15.0,,1.0,1.0,12.6,0.787,1.85,0.709,0.758,0.591,,,,,,,,,,,,,,,,,,,,,,,,,,,32204,unchanged,,,32204 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32204,FR,7504,20.0,47.0,18.0,19.25,13.0,,0.3,0.5,12.6,0.787,1.85,0.709,0.758,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,32204,unchanged,,,32204 FR (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30304,F,7304,20.0,52.0,15.0,16.25,13.0,,1.5,1.5,11.0,0.787,2.047,0.591,0.64,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,30304,unchanged,,,30304 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32304,F,7604,20.0,52.0,21.0,22.25,18.0,,1.5,1.5,14.0,0.787,2.047,0.827,0.876,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,32304,unchanged,,,32304 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,320,/22XF,6320,22.0,44.0,15.0,15.0,11.5,,0.6,0.6,11.0,0.866,1.732,0.591,0.591,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,320,unchanged,,,320/22XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32005,XF,2007105,25.0,47.0,15.0,15.0,11.5,,0.6,0.6,11.6,0.984,1.85,0.591,0.591,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,32005,unchanged,,,32005 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32005,XR,2007105,25.0,47.0,15.0,15.0,11.5,,4.5,1.0,11.6,0.984,1.85,0.591,0.591,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,32005,unchanged,,,32005 XR (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30205,FR,7205,25.0,52.0,15.0,16.25,13.0,,3.5,1.0,12.0,0.984,2.047,0.591,0.64,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,30205,unchanged,,,30205 FR (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30205,F,7205,25.0,52.0,15.0,16.25,13.0,,1.0,1.0,12.0,0.984,2.047,0.591,0.64,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,30205,unchanged,,,30205 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32205,F,7505,25.0,52.0,18.0,19.25,16.0,,1.0,1.0,13.5,0.984,2.047,0.709,0.758,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,32205,unchanged,,,32205 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32020,XF,2007120,100.0,150.0,32.0,32.0,24.0,,2.0,1.5,32.5,3.937,5.906,1.26,1.26,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,32020,unchanged,,,32020 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33205,F,3007205,25.0,52.0,22.0,22.0,18.0,,1.0,1.0,14.1,0.984,2.047,0.866,0.866,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,33205,unchanged,,,33205 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30305,F,7305,25.0,62.0,17.0,18.25,15.0,,1.5,1.5,13.1,0.984,2.441,0.669,0.719,0.591,,,,,,,,,,,,,,,,,,,,,,,,,,,30305,unchanged,,,30305 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,31305,F,27705,25.0,62.0,17.0,18.25,13.0,,1.5,1.5,20.0,0.984,2.441,0.669,0.719,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,31305,unchanged,,,31305 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32305,F,7605,25.0,62.0,24.0,25.25,20.0,,1.5,1.5,15.6,0.984,2.441,0.945,0.994,0.787,,,,,,,,,,,,,,,,,,,,,,,,,,,32305,unchanged,,,32305 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,320,/28XF,6320,28.0,52.0,16.0,16.0,12.0,,1.0,1.0,13.0,1.102,2.047,0.63,0.63,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,320,unchanged,,,320/28XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,303,/28F,6303,28.0,68.0,18.0,19.75,16.0,,1.5,1.5,14.1,1.102,2.677,0.709,0.778,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,303,unchanged,,,303/28F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32006,XF,2007106,30.0,55.0,17.0,17.0,13.0,,1.0,1.0,13.4,1.181,2.165,0.669,0.669,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,32006,unchanged,,,32006 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30206,F,7206,30.0,62.0,16.0,17.25,14.0,,1.0,1.0,13.9,1.181,2.441,0.63,0.679,0.551,,,,,,,,,,,,,,,,,,,,,,,,,,,30206,unchanged,,,30206 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32206,F,7506,30.0,62.0,20.0,21.25,17.0,,1.0,1.0,15.5,2.441,2.441,0.787,0.837,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,32206,unchanged,,,32206 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33206,F,3007206,62.0,,25.0,25.0,19.5,,1.0,1.0,16.0,2.441,2.441,0.984,0.984,0.768,,,,,,,,,,,,,,,,,,,,,,,,,,,33206,unchanged,,,33206 F (FERSA),NO_DIMS
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32208,F,7508,40.0,80.0,23.0,24.75,19.0,,1.5,1.5,19.0,1.575,3.15,0.906,0.974,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,32208,unchanged,,,32208 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32205,BF,7505,25.0,52.0,18.0,19.25,15.0,,1.0,1.0,16.0,0.984,2.047,0.709,0.758,0.591,,,,,,,,,,,,,,,,,,,,,,,,,,,32205,unchanged,,,32205 BF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33020,F,3007120,100.0,150.0,39.0,39.0,32.5,,2.0,1.5,29.0,3.937,5.906,1.535,1.535,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,33020,unchanged,,,33020 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30224,F,7224,120.0,215.0,40.0,43.5,34.0,,3.0,2.5,44.0,4.724,8.465,1.575,1.713,1.339,,,,,,,,,,,,,,,,,,,,,,,,,,,30224,unchanged,,,30224 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30226,F,7226,130.0,230.0,40.0,43.75,34.0,,4.0,3.0,45.0,5.118,9.055,1.575,1.722,1.339,,,,,,,,,,,,,,,,,,,,,,,,,,,30226,unchanged,,,30226 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33021,F,3007121,105.0,160.0,43.0,43.0,34.0,,2.5,1.0,30.6,4.134,6.299,1.693,1.693,1.339,,,,,,,,,,,,,,,,,,,,,,,,,,,33021,unchanged,,,33021 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30221,F,7221,105.0,190.0,36.0,39.0,30.0,,3.0,2.5,37.0,4.134,7.48,1.417,1.535,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,30221,unchanged,,,30221 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32024,XF,2007124,120.0,180.0,38.0,38.0,29.0,,2.5,2.0,39.0,4.724,7.087,1.496,1.496,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,32024,unchanged,,,32024 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33024,F,3007124,120.0,180.0,48.0,48.0,38.0,,2.5,2.0,36.0,4.724,7.087,1.89,1.89,1.496,,,,,,,,,,,,,,,,,,,,,,,,,,,33024,unchanged,,,33024 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ ЦИЛИНДРИЧЕСКИЙ,,12610,F,NF 2310,17.026,50.005,13.47,17.788,1.3,,10.6,,12649.0,1.969,0.67,0.53,0.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,12610,unchanged,,,12610 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,67048,/LM67014,7906,59.131,61.986,16.764,15.875,11.811,,,1.3,13.0,2.328,2.44,0.66,0.625,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,67048,unchanged,,,67048/LM67014 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,67048,/LM67010,7906,30.162,59.131,16.764,15.875,11.811,,,1.3,13.0,1.188,2.328,0.66,0.625,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,67048,unchanged,,,67048/LM67010 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,28584,/28521,7810,51.592,52.388,24.608,92.075,25.4,,19.845,0.781,3.5,2.031,2.063,0.969,3.625,1.0,,,,,,,,,,,,,,,,,,,,"a=19,8",,,,,,,28584,unchanged,,,28584/28521 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30204,F,7204,20.0,47.0,14.0,15.25,12.0,,1.0,1.0,11.0,0.787,1.85,0.551,0.6,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,30204,unchanged,,,30204 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,813849,/HM813811,7414,127.0,130.0,36.512,36.512,26.988,,3.5,1.5,32.3,5.118,5.0,1.438,1.438,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,813849,unchanged,,,813849/HM813811 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,813849,/HM813810,7414,127.0,130.0,36.512,36.512,26.988,,3.5,3.3,32.3,5.118,5.0,1.438,1.438,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,813849,unchanged,,,813849/HM813810 (FERSA),OK
FERSA,Подшипник,ПОДШИПНИК,,567,/563,7814,73.025,130.0,36.512,127.0,36.17,,28.575,1.125,3.5,5.118,2.875,1.438,5.0,1.424,,,,,,,,,,,,,,,,,,,,"a=28,5",,,,,,,567,unchanged,,,567/563 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,518445,/HM518410,7918,88.9,152.4,39.688,39.688,30.162,,6.4,3.3,33.7,3.5,6.0,1.563,1.563,1.188,,,,,,,,,,,,,,,,,,,,,,,,,,,518445,unchanged,,,518445/HM518410 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,37425,/37625,7921,107.95,158.75,23.02,158.75,21.438,,15.875,0.625,3.5,4.25,6.25,0.906,6.25,0.844,,,,,,,,,,,,,,,,,,,,"a=36,8",,,,,,,37425,unchanged,,,37425/37625 (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30202,F,7202,15.0,35.0,11.0,11.75,10.0,,1.0,1.0,8.3,0.591,1.378,0.433,0.463,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,30202,unchanged,,,30202 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30302,F,7302,15.0,42.0,13.0,14.25,11.0,,1.0,1.0,9.6,0.591,1.654,0.512,0.561,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,30302,unchanged,,,30302 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30203,F,7203,17.0,40.0,12.0,13.25,11.0,,1.0,1.0,9.9,0.669,1.575,0.472,0.522,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,30203,unchanged,,,30203 F (FERSA),OK
